ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13752507,JJ153334,02/18/2025 12:00:00 AM,071XX S SPRINGFIELD AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,RESIDENCE,False,False,833,8,23.0,65.0,06,1151601.0,1856921.0,2025,05/17/2025 03:40:52 PM,41.763264141,-87.719918154,"(41.763264141, -87.719918154)"
13364765,JH147722,02/10/2024 05:00:00 PM,027XX N CLARK ST,0810,THEFT,OVER $500,SIDEWALK,False,False,1935,19,43.0,7.0,06,1171616.0,1918629.0,2024,12/21/2024 03:40:46 PM,41.932180948,-87.644745673,"(41.932180948, -87.644745673)"
12231284,JD442107,11/25/2020 03:00:00 PM,057XX S LAFLIN ST,051A,ASSAULT,AGGRAVATED - HANDGUN,ALLEY,False,False,713,7,16.0,67.0,04A,1167316.0,1866743.0,2020,12/17/2020 03:40:05 PM,41.789894992,-87.662038383,"(41.789894992, -87.662038383)"
26268,JE367908,09/10/2021 03:06:00 AM,014XX W 17TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1233,12,25.0,31.0,01A,1166946.0,1891835.0,2021,09/19/2022 03:41:05 PM,41.858757979,-87.66267688,"(41.858757979, -87.66267688)"
25761,JE135554,02/07/2021 11:32:00 PM,077XX S YATES BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,False,421,4,7.0,43.0,01A,1193541.0,1854138.0,2021,09/01/2022 03:42:17 PM,41.754703829,-87.566292464,"(41.754703829, -87.566292464)"
13613189,JH447210,09/28/2024 05:21:00 AM,045XX N DAMEN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,1911,19,47.0,4.0,26,1162195.0,1930108.0,2024,05/17/2025 03:40:52 PM,41.963882352,-87.679044475,"(41.963882352, -87.679044475)"
13502617,JH314823,06/21/2024 02:28:00 AM,016XX W MORSE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2431,24,49.0,1.0,08B,1164272.0,1946137.0,2024,05/17/2025 03:40:52 PM,42.007822658,-87.670952227,"(42.007822658, -87.670952227)"
13619422,JH454723,10/03/2024 04:00:00 PM,004XX N WABASH AVE,1513,PROSTITUTION,SOLICITING FOR BUSINESS,HOTEL / MOTEL,True,False,1834,18,42.0,8.0,16,1176592.0,1902931.0,2024,05/17/2025 03:40:52 PM,41.888993854,-87.626934833,"(41.888993854, -87.626934833)"
12276094,JE120124,01/22/2021 03:00:00 PM,0000X S STATE ST,0870,THEFT,POCKET-PICKING,DEPARTMENT STORE,False,False,112,1,42.0,32.0,06,1176389.0,1900278.0,2021,01/29/2021 03:41:00 PM,41.88171846,-87.627760426,"(41.88171846, -87.627760426)"
13618243,JH453254,09/25/2024 12:34:00 PM,034XX N SOUTHPORT AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1924,19,44.0,6.0,06,1166363.0,1922849.0,2024,05/17/2025 03:40:52 PM,41.943874988,-87.663928556,"(41.943874988, -87.663928556)"
12868638,JF445700,10/23/2022 09:55:00 AM,003XX N GREEN ST,0460,BATTERY,SIMPLE,HOTEL / MOTEL,False,False,1214,12,27.0,28.0,08B,1170673.0,1902415.0,2022,01/03/2023 03:40:27 PM,41.887709569,-87.64868665,"(41.887709569, -87.64868665)"
13432294,JH228133,04/16/2024 08:40:00 PM,001XX N LECLAIRE AVE,0460,BATTERY,SIMPLE,RESIDENCE,False,False,1532,15,28.0,25.0,08B,1142348.0,1900803.0,2024,12/21/2024 03:40:46 PM,41.883859085,-87.752745896,"(41.883859085, -87.752745896)"
12740678,JF292331,06/16/2022 12:00:00 AM,045XX S SPAULDING AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,821,8,14.0,58.0,08A,1155135.0,1874346.0,2022,01/03/2023 03:40:27 PM,41.811010998,-87.706499604,"(41.811010998, -87.706499604)"
13768737,JJ172614,02/22/2025 12:00:00 AM,046XX W DICKENS AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,2522,25,26.0,19.0,06,1145074.0,1913556.0,2025,05/17/2025 03:40:52 PM,41.918803669,-87.742413068,"(41.918803669, -87.742413068)"
13259692,JG483182,10/28/2023 07:30:00 PM,020XX S STATE ST,0810,THEFT,OVER $500,APARTMENT,False,True,131,1,3.0,33.0,06,1176640.0,1890530.0,2023,11/05/2023 03:41:11 PM,41.854963672,-87.627133239,"(41.854963672, -87.627133239)"
12246835,JD461093,12/16/2020 04:00:00 PM,046XX W PETERSON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1711,17,39.0,12.0,05,1144133.0,1939471.0,2020,12/23/2020 03:40:29 PM,41.989934386,-87.745217019,"(41.989934386, -87.745217019)"
13563839,JH388022,08/14/2024 03:45:00 PM,018XX S LOOMIS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1233,12,25.0,31.0,14,1167325.0,1891317.0,2024,05/17/2025 03:40:52 PM,41.85732841,-87.661300589,"(41.85732841, -87.661300589)"
13478443,JH285287,05/30/2024 04:32:00 PM,046XX S ASHLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,False,False,924,9,15.0,61.0,26,1166449.0,1874039.0,2024,05/17/2025 03:40:52 PM,41.809934604,-87.665009423,"(41.809934604, -87.665009423)"
12586361,JF104973,01/06/2022 12:50:00 PM,088XX S PAXTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,412,4,8.0,48.0,08B,1192375.0,1846789.0,2022,01/03/2023 03:40:27 PM,41.73456598,-87.570804084,"(41.73456598, -87.570804084)"
12449401,JE332880,08/10/2021 02:00:00 PM,040XX N SHERIDAN RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1915,19,46.0,3.0,14,1168879.0,1926967.0,2021,08/17/2021 03:41:37 PM,41.955120653,-87.654561081,"(41.955120653, -87.654561081)"
13714527,JJ107812,01/07/2025 11:30:00 PM,019XX W 51ST ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,932,9,16.0,61.0,06,1164127.0,1870853.0,2025,05/17/2025 03:40:52 PM,41.801241076,-87.673615898,"(41.801241076, -87.673615898)"
13017980,JG194685,03/22/2023 04:00:00 AM,053XX S MARSHFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,932,9,16.0,61.0,14,1166247.0,1869399.0,2023,08/19/2023 03:40:26 PM,41.797206215,-87.66588249,"(41.797206215, -87.66588249)"
13063021,JG248485,05/04/2023 10:54:00 PM,011XX S STATE ST,031A,ROBBERY,ARMED - HANDGUN,CTA PLATFORM,False,False,123,1,4.0,32.0,03,1176517.0,1895340.0,2023,08/19/2023 03:40:26 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
12186940,JD391985,10/07/2020 05:20:00 PM,017XX W 75TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,611,6,17.0,71.0,08B,1165890.0,1854767.0,2020,10/14/2020 03:41:42 PM,41.757061712,-87.667607041,"(41.757061712, -87.667607041)"
13438633,JH236421,04/23/2024 10:15:00 AM,026XX W CORTEZ ST,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,False,1211,12,36.0,24.0,06,,,2024,04/25/2025 03:41:03 PM,,,
12527035,JE427244,10/29/2021 09:37:00 PM,052XX S WOLCOTT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,932,9,16.0,61.0,08B,1164571.0,1870001.0,2021,11/05/2021 03:40:57 PM,41.798893722,-87.672011626,"(41.798893722, -87.672011626)"
12865939,JF442493,10/20/2022 09:43:00 PM,035XX W PALMER ST,051A,ASSAULT,AGGRAVATED - HANDGUN,CHA APARTMENT,True,False,1413,14,35.0,22.0,04A,1152280.0,1914391.0,2022,01/03/2023 03:40:27 PM,41.920955678,-87.715915219,"(41.920955678, -87.715915219)"
12480282,JE370860,09/12/2021 02:50:00 PM,031XX S RACINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,913,9,11.0,60.0,08B,1168822.0,1884159.0,2021,09/19/2021 03:40:44 PM,41.837653935,-87.656012985,"(41.837653935, -87.656012985)"
13364720,JH147725,02/10/2024 06:30:00 AM,007XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,123,1,4.0,32.0,06,1177389.0,1897003.0,2024,12/21/2024 03:40:46 PM,41.872709056,-87.624187857,"(41.872709056, -87.624187857)"
12031395,JD210371,04/16/2020 03:19:00 PM,048XX W RICE ST,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,SIDEWALK,False,False,1531,15,37.0,25.0,03,1143857.0,1905216.0,2020,04/23/2020 03:45:11 PM,41.895940726,-87.74709392,"(41.895940726, -87.74709392)"
12085735,JD273225,06/22/2020 10:00:00 PM,063XX S TRIPP AVE,0810,THEFT,OVER $500,STREET,False,False,813,8,13.0,65.0,06,1149133.0,1862069.0,2020,06/29/2020 03:41:42 PM,41.777439045,-87.728831355,"(41.777439045, -87.728831355)"
12968032,JG134856,01/27/2023 04:00:00 PM,007XX N GREEN ST,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,1214,12,27.0,24.0,05,1170593.0,1905143.0,2023,08/19/2023 03:40:26 PM,41.895197128,-87.648900523,"(41.895197128, -87.648900523)"
